Asset,Model,MSE,MAE,AIC,BIC,LogLikelihood,Model_Type,Engine,Data_Source,Source_File,Sheet_Name
CAT,fGARCH,0.0004865726372324,0.0155644367127381,-23648.64333194,-23610.1523691449,11830.32166597,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
WMT,fGARCH,0.0002024320944537,0.0097582380654304,-27987.1546403849,-27948.6636775898,13999.5773201925,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
AMZN,fGARCH,0.0006742064219145,0.0178011068222923,-22488.301313012,-22449.8103502169,11250.150656506,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
NF_GARCH,NF_eGARCH,1.18137469062434,0.639552100485629,27401.3105107421,27439.8014735372,-13694.6552553711,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,NF_GARCH_Summary
NF_GARCH,fGARCH,0.0002996177475728,0.0108763485789128,-28273.7513163331,-28235.260353538,14142.8756581666,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,NF_GARCH_Summary
NF_GARCH,NF_gjrGARCH,0.0003133760062229,0.0112221655607113,-28244.7567895128,-28206.2658267176,14128.3783947564,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,NF_GARCH_Summary
NF_GARCH,NF_sGARCH,0.0006248695624855,0.0145424899880528,-27762.03722833,-27736.3765864666,13885.018614165,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,NF_GARCH_Summary
NF_GARCH,NF_sGARCH,0.0003171775896674,0.0112858395639498,-28224.6219527426,-28192.5461504133,14117.3109763713,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,NF_GARCH_Summary
EURUSD,NF_sGARCH,7.87003963101355e-05,0.0061944665486559,-34377.1707727693,-34351.5101309059,17192.5853863846,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPUSD,NF_sGARCH,4.11087360487004e-05,0.0045294916356024,-33851.7540406431,-33826.0933987797,16929.8770203215,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPCNY,NF_sGARCH,9.09855798606352e-05,0.0065568986258532,-34000.1819108926,-33974.5212690292,17004.0909554463,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
USDZAR,NF_sGARCH,0.0002807528988947,0.0116003965519534,-28584.7086508759,-28559.0480090125,14296.3543254379,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPZAR,NF_sGARCH,0.000234628334629,0.0105766833994818,-29360.6227231552,-29334.9620812918,14684.3113615776,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
EURZAR,NF_sGARCH,0.0002178793284326,0.0102730463391164,-29599.374907485,-29573.7142656216,14803.6874537425,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
NVDA,NF_sGARCH,0.0026887219338427,0.0350785835350776,-19072.1926536163,-19046.5320117529,9540.09632680814,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
MSFT,NF_sGARCH,0.0006677853402264,0.0176466890767945,-24597.7607929695,-24572.1001511061,12302.8803964848,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
PG,NF_sGARCH,0.0002991052838286,0.0116270060266031,-28414.6416025701,-28388.9809607067,14211.320801285,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
CAT,NF_sGARCH,0.0009705475756338,0.0210262480563916,-23080.1961523215,-23054.5355104581,11544.0980761608,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
