Asset,Model,MSE,MAE,AIC,BIC,LogLikelihood,Data_Source,Source_File,Sheet_Name
EURUSD,sGARCH,4.16211056314152e-05,0.0047125154123399,-34583.5588202508,-34551.4830179215,17296.7794101254,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPUSD,sGARCH,5.5313535734898e-05,0.00533984676011531,-34121.8216999079,-34089.7458975786,17065.9108499539,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPCNY,sGARCH,5.23220458678592e-05,0.00524894519407806,-34205.385821607,-34173.3100192778,17107.6929108035,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
USDZAR,sGARCH,0.000199773768740151,0.0102562744900235,-28673.9875229997,-28641.9117206705,14341.9937614999,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPZAR,sGARCH,0.00015810447500178,0.00914134412142851,-29517.0242242862,-29484.9484219569,14763.5121121431,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURZAR,sGARCH,0.000150464322575609,0.00891658457187333,-29783.026599145,-29750.9507968157,14896.5132995725,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,sGARCH,0.00118786933999838,0.0247173978623452,-19775.9901979821,-19743.9143956528,9892.99509899103,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
MSFT,sGARCH,0.000371303632192122,0.0135689349034507,-25210.0896254276,-25178.0138230983,12610.0448127138,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
PG,sGARCH,0.000174086938233389,0.00911333940207451,-29009.1495025126,-28977.0737001834,14509.5747512563,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,sGARCH,0.00051033149925327,0.0160478398082249,-23544.5795714154,-23512.5037690862,11777.2897857077,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
WMT,sGARCH,0.00021631485241183,0.0101906247055399,-27919.047770074,-27886.9719677447,13964.523885037,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
AMZN,sGARCH,0.000688625560368117,0.0181764275359042,-22351.8020773031,-22319.7262749738,11180.9010386515,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURUSD,gjrGARCH,4.13002135453205e-05,0.00469408431494736,-34582.5142602016,-34544.0232974065,17297.2571301008,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
