"","NVDA","MSFT","PG","CAT","WMT","AMZN","EURUSD","GBPUSD","GBPCNY","USDZAR","GBPZAR","EURZAR"
"2016-12-08",2.30239629745483,55.0800094604492,65.9660873413086,78.6908950805664,20.1974849700928,38.3665008544922,1.0762,1.26795,8.6342,13.5266,17.0888,14.5742
"2016-12-09",2.26150989532471,55.9466934204102,66.6533966064453,78.0860443115234,20.1228160858154,38.4329986572266,1.0559,1.25995,8.6744,13.7352,17.2795,14.5806
"2016-12-12",2.20658564567566,56.1272468566895,67.2538070678711,77.7182235717773,20.5793800354004,38.0060005187988,1.0596,1.2634,8.7473,13.8455,17.4384,14.6381
"2016-12-13",2.24550127983093,56.8585205078125,67.2932968139648,78.4865875244141,20.6167068481445,38.7169990539551,1.061,1.27065,8.7499,13.5938,17.2451,14.436
"2016-12-14",2.37554693222046,56.5876808166504,66.6533966064453,76.6229095458984,20.4846267700195,38.4410018920898,1.0644,1.26495,8.7669,13.6215,17.2578,14.479
"2016-12-15",2.43121099472046,56.4974021911621,66.8983001708984,77.2686538696289,20.4099655151367,38.0499992370605,1.0419,1.2483,8.6131,14.0357,17.5909,14.7354
"2016-12-19",2.50312924385071,57.4363212585449,66.9219970703125,75.7809982299805,20.5535373687744,38.2999992370605,1.0422,1.2416,8.6132,13.9821,17.4629,14.6316
"2016-12-20",2.59031915664673,57.3641052246094,66.8114013671875,77.1133651733398,20.6224517822266,38.5610008239746,1.0364,1.23445,8.5816,14.1177,17.4756,14.6634
"2016-12-21",2.60657501220703,57.3641052246094,66.5822906494141,76.6883087158203,20.4559059143066,38.5299987792969,1.0421,1.2367,8.5877,13.9685,17.2581,14.5343
"2016-12-22",2.63810110092163,57.3731231689453,66.7323989868164,76.9335250854492,19.9821262359619,38.3170013427734,1.0444,1.2337,8.5438,13.9726,17.2548,14.5937
"2016-12-23",2.703861951828,57.0932540893555,67.119499206543,77.0969924926758,19.9677715301514,38.0294990539551,1.0446,1.2255,8.5118,14.0217,17.1997,14.6429
"2016-12-28",2.69080853462219,56.867561340332,66.416374206543,76.1406478881836,19.901725769043,38.6064987182617,1.0401,1.2232,8.505,13.9404,17.0708,14.5496
"2016-12-29",2.74450206756592,56.786304473877,66.6375961303711,76.2550888061523,19.8873691558838,38.2574996948242,1.0453,1.2255,8.5013,13.7374,16.8379,14.3597
"2016-12-30",2.62898755073547,56.1001739501953,66.42431640625,75.8055191040039,19.8471736907959,37.4934997558594,1.0541,1.2302,8.5395,13.6282,16.7504,14.3342
"2017-01-03",2.51248860359192,56.4974021911621,66.5191040039062,76.827262878418,19.7150840759277,37.6834983825684,1.0385,1.22895,8.516,13.7254,16.8562,14.317
"2017-01-04",2.5711076259613,56.2446250915527,66.756103515625,76.4839630126953,19.8299369812012,37.859001159668,1.0437,1.22835,8.5238,13.7164,16.8342,14.3069
"2017-01-05",2.5058388710022,56.2446250915527,67.1985092163086,76.0180435180664,19.8730125427246,39.0224990844727,1.0501,1.23055,8.5571,13.5763,16.6921,14.2931
"2017-01-06",2.53933548927307,56.7321357727051,67.1747817993164,76.0507431030273,19.6002254486084,39.7994995117188,1.0589,1.2367,8.5211,13.6854,16.9446,14.4935
"2017-01-09",2.64228749275208,56.5515785217285,66.6770935058594,75.5030746459961,19.7294464111328,39.8460006713867,1.0516,1.2166,8.4239,13.7373,16.743,14.497
"2017-01-10",2.62233805656433,56.5335273742676,65.9582138061523,76.6964950561523,19.5916118621826,39.7949981689453,1.0567,1.2143,8.4289,13.6318,16.5067,14.4572
"2017-01-11",2.59007287025452,57.0481071472168,66.1635894775391,77.3667602539062,19.6777496337891,39.951000213623,1.0503,1.21255,8.373,13.7096,16.673,14.4726
"2017-01-12",2.54770803451538,56.5244941711426,66.2346954345703,76.827262878418,19.516960144043,40.681999206543,1.0679,1.2285,8.4177,13.6166,16.7205,14.4942
"2017-01-13",2.54746341705322,56.6057548522949,66.369010925293,77.2277984619141,19.2757587432861,40.8569984436035,1.0661,1.2181,8.4051,13.5366,16.4929,14.3921
"2017-01-17",2.49032187461853,56.452262878418,67.317008972168,76.4839630126953,19.6461696624756,40.4860000610352,1.0684,1.2222,8.4862,13.4952,16.3656,14.3879
"2017-01-18",2.53564047813416,56.4251823425293,67.6275634765625,76.920768737793,19.5571613311768,40.3740005493164,1.0664,1.2284,8.439,13.5229,16.6846,14.4655
"2017-01-19",2.59007287025452,56.2446250915527,67.4443969726562,76.9619827270508,19.4164543151855,40.4519996643066,1.0668,1.2327,8.4504,13.5735,16.7036,14.4551
"2017-01-23",2.58834862709045,56.8404808044434,69.2439956665039,77.8521118164062,19.1379318237305,40.8940010070801,1.0715,1.24335,8.5608,13.5322,16.8259,14.5261
"2017-01-24",2.64351916313171,57.3460578918457,69.9606170654297,79.3191528320312,19.3532886505127,41.1220016479492,1.0748,1.2455,8.5783,13.4647,16.8086,14.4718
"2017-01-25",2.6548490524292,57.4904861450195,69.4032669067383,80.8933410644531,19.2068462371826,41.826000213623,1.0743,1.2579,8.6738,13.3469,16.7149,14.3192
"2017-01-26",2.70066070556641,58.023136138916,68.9573135375977,80.126838684082,19.1609039306641,41.9575004577637,1.07,1.2592,8.6572,13.2268,16.7464,14.2069
"2017-01-27",2.75287628173828,59.3863754272461,69.0528793334961,81.5856552124023,18.8536605834961,41.788501739502,1.0681,1.25335,8.6324,13.4688,16.8851,14.3799
"2017-01-30",2.70977401733398,58.7995529174805,69.0767517089844,79.7724533081055,19.0718879699707,41.5190010070801,1.063,1.2519,8.6063,13.6344,17.1044,14.5868
"2017-01-31",2.68908500671387,58.3662071228027,69.7536010742188,78.8411178588867,19.1637725830078,41.173999786377,1.0755,1.24615,8.6572,13.5219,16.9091,14.4955
"2017-02-01",2.80656838417053,57.400203704834,69.5386352539062,78.3878326416016,19.0173358917236,41.6175003051758,1.079,1.2649,8.6971,13.4899,16.9581,14.557
"2017-02-02",2.84203553199768,57.0300674438477,69.8810195922852,77.2834014892578,19.1522884368896,41.997501373291,1.0808,1.2668,8.6166,13.3507,16.9394,14.4115
"2017-02-03",2.81715965270996,57.4904861450195,69.6023101806641,76.8795394897461,19.0948657989502,40.5099983215332,1.0741,1.2486,8.5847,13.4353,16.8385,14.4463
